"Plot Title: DRYAS_11C_Soil"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20547755, SEN S/N: 20547755, LBL: -5cm_soil)","Host Connected (LGR S/N: 20547755)","Coupler Attached (LGR S/N: 20547755)","Stopped (LGR S/N: 20547755)","End Of File (LGR S/N: 20547755)"
252,07/07/22 09:30:00  PM,8.879,,,,
253,07/07/22 10:00:00  PM,8.382,,,,
254,07/07/22 10:30:00  PM,7.882,,,,
255,07/07/22 11:00:00  PM,7.481,,,,
256,07/07/22 11:30:00  PM,7.179,,,,
257,07/08/22 12:00:00  AM,6.978,,,,
258,07/08/22 12:30:00  AM,6.674,,,,
259,07/08/22 01:00:00  AM,6.573,,,,
260,07/08/22 01:30:00  AM,6.370,,,,
261,07/08/22 02:00:00  AM,6.370,,,,
262,07/08/22 02:30:00  AM,6.370,,,,
263,07/08/22 03:00:00  AM,6.268,,,,
264,07/08/22 03:30:00  AM,6.268,,,,
265,07/08/22 04:00:00  AM,6.268,,,,
266,07/08/22 04:30:00  AM,6.268,,,,
267,07/08/22 05:00:00  AM,6.370,,,,
268,07/08/22 05:30:00  AM,6.370,,,,
269,07/08/22 06:00:00  AM,6.573,,,,
270,07/08/22 06:30:00  AM,6.674,,,,
271,07/08/22 07:00:00  AM,6.877,,,,
272,07/08/22 07:30:00  AM,7.079,,,,
273,07/08/22 08:00:00  AM,7.179,,,,
274,07/08/22 08:30:00  AM,7.481,,,,
275,07/08/22 09:00:00  AM,7.582,,,,
276,07/08/22 09:30:00  AM,7.983,,,,
277,07/08/22 10:00:00  AM,8.282,,,,
278,07/08/22 10:30:00  AM,8.382,,,,
279,07/08/22 11:00:00  AM,8.581,,,,
280,07/08/22 11:30:00  AM,8.779,,,,
281,07/08/22 12:00:00  PM,9.176,,,,
282,07/08/22 12:30:00  PM,9.571,,,,
283,07/08/22 01:00:00  PM,9.866,,,,
284,07/08/22 01:30:00  PM,9.866,,,,
285,07/08/22 02:00:00  PM,9.571,,,,
286,07/08/22 02:30:00  PM,9.275,,,,
287,07/08/22 03:00:00  PM,8.978,,,,
288,07/08/22 03:30:00  PM,8.680,,,,
289,07/08/22 04:00:00  PM,8.481,,,,
290,07/08/22 04:30:00  PM,8.182,,,,
291,07/08/22 05:00:00  PM,8.082,,,,
292,07/08/22 05:30:00  PM,8.082,,,,
293,07/08/22 06:00:00  PM,8.082,,,,
294,07/08/22 06:30:00  PM,7.983,,,,
295,07/08/22 07:00:00  PM,8.082,,,,
296,07/08/22 07:30:00  PM,8.581,,,,
297,07/08/22 08:00:00  PM,8.481,,,,
298,07/08/22 08:30:00  PM,8.182,,,,
299,07/08/22 09:00:00  PM,7.882,,,,
300,07/08/22 09:30:00  PM,7.582,,,,
301,07/08/22 10:00:00  PM,7.481,,,,
302,07/08/22 10:30:00  PM,7.280,,,,
303,07/08/22 11:00:00  PM,7.079,,,,
304,07/08/22 11:30:00  PM,6.877,,,,
305,07/09/22 12:00:00  AM,6.775,,,,
306,07/09/22 12:30:00  AM,6.674,,,,
307,07/09/22 01:00:00  AM,6.573,,,,
308,07/09/22 01:30:00  AM,6.471,,,,
309,07/09/22 02:00:00  AM,6.471,,,,
310,07/09/22 02:30:00  AM,6.370,,,,
311,07/09/22 03:00:00  AM,6.268,,,,
312,07/09/22 03:30:00  AM,6.268,,,,
313,07/09/22 04:00:00  AM,6.268,,,,
314,07/09/22 04:30:00  AM,6.268,,,,
315,07/09/22 05:00:00  AM,6.370,,,,
316,07/09/22 05:30:00  AM,6.471,,,,
317,07/09/22 06:00:00  AM,6.674,,,,
318,07/09/22 06:30:00  AM,6.877,,,,
319,07/09/22 07:00:00  AM,7.079,,,,
320,07/09/22 07:30:00  AM,7.179,,,,
321,07/09/22 08:00:00  AM,7.280,,,,
322,07/09/22 08:30:00  AM,7.481,,,,
323,07/09/22 09:00:00  AM,7.682,,,,
324,07/09/22 09:30:00  AM,7.983,,,,
325,07/09/22 10:00:00  AM,8.182,,,,
326,07/09/22 10:30:00  AM,8.282,,,,
327,07/09/22 11:00:00  AM,8.581,,,,
328,07/09/22 11:30:00  AM,8.779,,,,
329,07/09/22 12:00:00  PM,9.176,,,,
330,07/09/22 12:30:00  PM,9.472,,,,
331,07/09/22 01:00:00  PM,9.669,,,,
332,07/09/22 01:30:00  PM,9.965,,,,
333,07/09/22 02:00:00  PM,10.357,,,,
334,07/09/22 02:30:00  PM,10.651,,,,
335,07/09/22 03:00:00  PM,10.748,,,,
336,07/09/22 03:30:00  PM,10.748,,,,
337,07/09/22 04:00:00  PM,10.553,,,,
338,07/09/22 04:30:00  PM,10.651,,,,
339,07/09/22 05:00:00  PM,10.357,,,,
340,07/09/22 05:30:00  PM,9.965,,,,
341,07/09/22 06:00:00  PM,9.866,,,,
342,07/09/22 06:30:00  PM,9.866,,,,
343,07/09/22 07:00:00  PM,9.866,,,,
344,07/09/22 07:30:00  PM,9.571,,,,
345,07/09/22 08:00:00  PM,9.472,,,,
346,07/09/22 08:30:00  PM,9.077,,,,
347,07/09/22 09:00:00  PM,8.581,,,,
348,07/09/22 09:30:00  PM,8.282,,,,
349,07/09/22 10:00:00  PM,7.983,,,,
350,07/09/22 10:30:00  PM,7.782,,,,
351,07/09/22 11:00:00  PM,7.582,,,,
352,07/09/22 11:30:00  PM,7.280,,,,
353,07/10/22 12:00:00  AM,7.079,,,,
354,07/10/22 12:30:00  AM,6.877,,,,
355,07/10/22 01:00:00  AM,6.674,,,,
356,07/10/22 01:30:00  AM,6.471,,,,
357,07/10/22 02:00:00  AM,6.370,,,,
358,07/10/22 02:30:00  AM,6.370,,,,
359,07/10/22 03:00:00  AM,6.268,,,,
360,07/10/22 03:30:00  AM,6.268,,,,
361,07/10/22 04:00:00  AM,6.370,,,,
362,07/10/22 04:30:00  AM,6.471,,,,
363,07/10/22 05:00:00  AM,6.674,,,,
364,07/10/22 05:30:00  AM,6.775,,,,
365,07/10/22 06:00:00  AM,6.877,,,,
366,07/10/22 06:30:00  AM,7.079,,,,
367,07/10/22 07:00:00  AM,7.079,,,,
368,07/10/22 07:30:00  AM,7.079,,,,
369,07/10/22 08:00:00  AM,7.079,,,,
370,07/10/22 08:30:00  AM,7.179,,,,
371,07/10/22 09:00:00  AM,7.280,,,,
372,07/10/22 09:30:00  AM,7.381,,,,
373,07/10/22 10:00:00  AM,7.381,,,,
374,07/10/22 10:30:00  AM,7.280,,,,
375,07/10/22 11:00:00  AM,7.280,,,,
376,07/10/22 11:30:00  AM,7.280,,,,
377,07/10/22 12:00:00  PM,7.280,,,,
378,07/10/22 12:30:00  PM,7.280,,,,
379,07/10/22 01:00:00  PM,7.381,,,,
380,07/10/22 01:30:00  PM,7.481,,,,
381,07/10/22 02:00:00  PM,7.682,,,,
382,07/10/22 02:30:00  PM,7.882,,,,
383,07/10/22 03:00:00  PM,7.882,,,,
384,07/10/22 03:30:00  PM,8.082,,,,
385,07/10/22 04:00:00  PM,8.481,,,,
386,07/10/22 04:30:00  PM,9.077,,,,
387,07/10/22 05:00:00  PM,9.571,,,,
388,07/10/22 05:30:00  PM,9.768,,,,
389,07/10/22 06:00:00  PM,9.965,,,,
390,07/10/22 06:30:00  PM,10.161,,,,
391,07/10/22 07:00:00  PM,10.063,,,,
392,07/10/22 07:30:00  PM,9.866,,,,
393,07/10/22 08:00:00  PM,9.669,,,,
394,07/10/22 08:30:00  PM,9.275,,,,
395,07/10/22 09:00:00  PM,8.779,,,,
396,07/10/22 09:30:00  PM,8.382,,,,
397,07/10/22 10:00:00  PM,7.983,,,,
398,07/10/22 10:30:00  PM,7.582,,,,
399,07/10/22 11:00:00  PM,7.280,,,,
400,07/10/22 11:30:00  PM,6.978,,,,
401,07/11/22 12:00:00  AM,6.674,,,,
402,07/11/22 12:30:00  AM,6.471,,,,
403,07/11/22 01:00:00  AM,6.370,,,,
404,07/11/22 01:30:00  AM,6.166,,,,
405,07/11/22 02:00:00  AM,6.064,,,,
406,07/11/22 02:30:00  AM,5.962,,,,
407,07/11/22 03:00:00  AM,5.962,,,,
408,07/11/22 03:30:00  AM,6.064,,,,
409,07/11/22 04:00:00  AM,6.166,,,,
410,07/11/22 04:30:00  AM,6.268,,,,
411,07/11/22 05:00:00  AM,6.370,,,,
412,07/11/22 05:30:00  AM,6.471,,,,
413,07/11/22 06:00:00  AM,6.573,,,,
414,07/11/22 06:30:00  AM,6.573,,,,
415,07/11/22 07:00:00  AM,6.674,,,,
416,07/11/22 07:30:00  AM,6.775,,,,
417,07/11/22 08:00:00  AM,7.079,,,,
418,07/11/22 08:30:00  AM,7.381,,,,
419,07/11/22 09:00:00  AM,7.481,,,,
420,07/11/22 09:30:00  AM,7.782,,,,
421,07/11/22 10:00:00  AM,7.983,,,,
422,07/11/22 10:30:00  AM,8.282,,,,
423,07/11/22 11:00:00  AM,8.581,,,,
424,07/11/22 11:30:00  AM,8.978,,,,
425,07/11/22 12:00:00  PM,9.275,,,,
426,07/11/22 12:30:00  PM,9.472,,,,
427,07/11/22 01:00:00  PM,9.768,,,,
428,07/11/22 01:30:00  PM,9.965,,,,
429,07/11/22 02:00:00  PM,10.161,,,,
430,07/11/22 02:30:00  PM,10.357,,,,
431,07/11/22 03:00:00  PM,10.455,,,,
432,07/11/22 03:30:00  PM,10.455,,,,
433,07/11/22 04:00:00  PM,10.553,,,,
434,07/11/22 04:30:00  PM,10.651,,,,
435,07/11/22 05:00:00  PM,10.748,,,,
436,07/11/22 05:30:00  PM,10.748,,,,
437,07/11/22 06:00:00  PM,10.651,,,,
438,07/11/22 06:30:00  PM,10.651,,,,
439,07/11/22 07:00:00  PM,10.455,,,,
440,07/11/22 07:30:00  PM,10.259,,,,
441,07/11/22 08:00:00  PM,10.063,,,,
442,07/11/22 08:30:00  PM,9.571,,,,
443,07/11/22 09:00:00  PM,9.077,,,,
444,07/11/22 09:30:00  PM,8.680,,,,
445,07/11/22 10:00:00  PM,8.282,,,,
446,07/11/22 10:30:00  PM,7.882,,,,
447,07/11/22 11:00:00  PM,7.582,,,,
448,07/11/22 11:30:00  PM,7.381,,,,
449,07/12/22 12:00:00  AM,7.179,,,,
450,07/12/22 12:30:00  AM,7.079,,,,
451,07/12/22 01:00:00  AM,6.978,,,,
452,07/12/22 01:30:00  AM,6.775,,,,
453,07/12/22 02:00:00  AM,6.674,,,,
454,07/12/22 02:30:00  AM,6.573,,,,
455,07/12/22 03:00:00  AM,6.573,,,,
456,07/12/22 03:30:00  AM,6.573,,,,
457,07/12/22 04:00:00  AM,6.674,,,,
458,07/12/22 04:30:00  AM,6.775,,,,
459,07/12/22 05:00:00  AM,6.775,,,,
460,07/12/22 05:30:00  AM,6.978,,,,
461,07/12/22 06:00:00  AM,7.079,,,,
462,07/12/22 06:30:00  AM,7.179,,,,
463,07/12/22 07:00:00  AM,7.280,,,,
464,07/12/22 07:30:00  AM,7.481,,,,
465,07/12/22 08:00:00  AM,7.682,,,,
466,07/12/22 08:30:00  AM,8.082,,,,
467,07/12/22 09:00:00  AM,8.282,,,,
468,07/12/22 09:30:00  AM,8.481,,,,
469,07/12/22 10:00:00  AM,8.481,,,,
470,07/12/22 10:30:00  AM,8.481,,,,
471,07/12/22 11:00:00  AM,8.581,,,,
472,07/12/22 11:30:00  AM,8.680,,,,
473,07/12/22 12:00:00  PM,8.779,,,,
474,07/12/22 12:30:00  PM,8.581,,,,
475,07/12/22 01:00:00  PM,8.382,,,,
476,07/12/22 01:30:00  PM,8.182,,,,
477,07/12/22 02:00:00  PM,8.182,,,,
478,07/12/22 02:30:00  PM,8.282,,,,
479,07/12/22 03:00:00  PM,8.581,,,,
480,07/12/22 03:30:00  PM,8.581,,,,
481,07/12/22 04:00:00  PM,8.779,,,,
482,07/12/22 04:30:00  PM,8.879,,,,
483,07/12/22 05:00:00  PM,8.779,,,,
484,07/12/22 05:30:00  PM,8.581,,,,
485,07/12/22 06:00:00  PM,8.382,,,,
486,07/12/22 06:30:00  PM,8.182,,,,
487,07/12/22 07:00:00  PM,7.983,,,,
488,07/12/22 07:30:00  PM,7.682,,,,
489,07/12/22 08:00:00  PM,7.582,,,,
490,07/12/22 08:30:00  PM,7.381,,,,
491,07/12/22 09:00:00  PM,7.280,,,,
492,07/12/22 09:30:00  PM,7.079,,,,
493,07/12/22 10:00:00  PM,6.877,,,,
494,07/12/22 10:30:00  PM,6.775,,,,
495,07/12/22 11:00:00  PM,6.573,,,,
496,07/12/22 11:30:00  PM,6.370,,,,
497,07/13/22 12:00:00  AM,6.268,,,,
498,07/13/22 12:30:00  AM,6.166,,,,
499,07/13/22 01:00:00  AM,6.064,,,,
500,07/13/22 01:30:00  AM,6.064,,,,
501,07/13/22 02:00:00  AM,5.962,,,,
502,07/13/22 02:30:00  AM,5.962,,,,
503,07/13/22 03:00:00  AM,5.860,,,,
504,07/13/22 03:30:00  AM,5.860,,,,
505,07/13/22 04:00:00  AM,5.860,,,,
506,07/13/22 04:30:00  AM,5.860,,,,
507,07/13/22 05:00:00  AM,5.860,,,,
508,07/13/22 05:30:00  AM,5.962,,,,
509,07/13/22 06:00:00  AM,5.962,,,,
510,07/13/22 06:30:00  AM,6.064,,,,
511,07/13/22 07:00:00  AM,6.166,,,,
512,07/13/22 07:30:00  AM,6.166,,,,
513,07/13/22 08:00:00  AM,6.268,,,,
514,07/13/22 08:30:00  AM,6.370,,,,
515,07/13/22 09:00:00  AM,6.573,,,,
516,07/13/22 09:30:00  AM,6.877,,,,
517,07/13/22 10:00:00  AM,7.381,,,,
518,07/13/22 10:30:00  AM,7.782,,,,
519,07/13/22 11:00:00  AM,8.082,,,,
520,07/13/22 11:30:00  AM,8.382,,,,
521,07/13/22 12:00:00  PM,8.779,,,,
522,07/13/22 12:30:00  PM,8.779,,,,
523,07/13/22 01:00:00  PM,8.680,,,,
524,07/13/22 01:30:00  PM,8.680,,,,
525,07/13/22 02:00:00  PM,8.779,,,,
526,07/13/22 02:30:00  PM,8.680,,,,
527,07/13/22 03:00:00  PM,8.779,,,,
528,07/13/22 03:30:00  PM,8.779,,,,
529,07/13/22 04:00:00  PM,8.779,,,,
530,07/13/22 04:30:00  PM,9.176,,,,
531,07/13/22 05:00:00  PM,9.176,,,,
532,07/13/22 05:30:00  PM,9.176,,,,
533,07/13/22 06:00:00  PM,9.176,,,,
534,07/13/22 06:30:00  PM,8.978,,,,
