"Plot Title: DRYAS_14T_Soil"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10139941, SEN S/N: 10139941, LBL: -5cm_soil)","Good Battery (LGR S/N: 10139941)","Coupler Attached (LGR S/N: 10139941)","Host Connected (LGR S/N: 10139941)","Stopped (LGR S/N: 10139941)","End Of File (LGR S/N: 10139941)"
310,07/05/22 09:15:00  PM,6.775,,,,,
311,07/05/22 09:30:00  PM,6.674,,,,,
312,07/05/22 09:45:00  PM,6.573,,,,,
313,07/05/22 10:00:00  PM,6.471,,,,,
314,07/05/22 10:15:00  PM,6.268,,,,,
315,07/05/22 10:30:00  PM,6.166,,,,,
316,07/05/22 10:45:00  PM,6.064,,,,,
317,07/05/22 11:00:00  PM,5.962,,,,,
318,07/05/22 11:15:00  PM,5.860,,,,,
319,07/05/22 11:30:00  PM,5.757,,,,,
320,07/05/22 11:45:00  PM,5.655,,,,,
321,07/06/22 12:00:00  AM,5.552,,,,,
322,07/06/22 12:15:00  AM,5.552,,,,,
323,07/06/22 12:30:00  AM,5.450,,,,,
324,07/06/22 12:45:00  AM,5.347,,,,,
325,07/06/22 01:00:00  AM,5.244,,,,,
326,07/06/22 01:15:00  AM,5.244,,,,,
327,07/06/22 01:30:00  AM,5.141,,,,,
328,07/06/22 01:45:00  AM,5.037,,,,,
329,07/06/22 02:00:00  AM,5.037,,,,,
330,07/06/22 02:15:00  AM,5.037,,,,,
331,07/06/22 02:30:00  AM,4.934,,,,,
332,07/06/22 02:45:00  AM,4.934,,,,,
333,07/06/22 03:00:00  AM,4.831,,,,,
334,07/06/22 03:15:00  AM,4.831,,,,,
335,07/06/22 03:30:00  AM,4.727,,,,,
336,07/06/22 03:45:00  AM,4.727,,,,,
337,07/06/22 04:00:00  AM,4.727,,,,,
338,07/06/22 04:15:00  AM,4.727,,,,,
339,07/06/22 04:30:00  AM,4.727,,,,,
340,07/06/22 04:45:00  AM,4.727,,,,,
341,07/06/22 05:00:00  AM,4.623,,,,,
342,07/06/22 05:15:00  AM,4.727,,,,,
343,07/06/22 05:30:00  AM,4.727,,,,,
344,07/06/22 05:45:00  AM,4.727,,,,,
345,07/06/22 06:00:00  AM,4.727,,,,,
346,07/06/22 06:15:00  AM,4.623,,,,,
347,07/06/22 06:30:00  AM,4.623,,,,,
348,07/06/22 06:45:00  AM,4.623,,,,,
349,07/06/22 07:00:00  AM,4.519,,,,,
350,07/06/22 07:15:00  AM,4.519,,,,,
351,07/06/22 07:30:00  AM,4.415,,,,,
352,07/06/22 07:45:00  AM,4.415,,,,,
353,07/06/22 08:00:00  AM,4.415,,,,,
354,07/06/22 08:15:00  AM,4.415,,,,,
355,07/06/22 08:30:00  AM,4.415,,,,,
356,07/06/22 08:45:00  AM,4.415,,,,,
357,07/06/22 09:00:00  AM,4.415,,,,,
358,07/06/22 09:15:00  AM,4.415,,,,,
359,07/06/22 09:30:00  AM,4.415,,,,,
360,07/06/22 09:45:00  AM,4.415,,,,,
361,07/06/22 10:00:00  AM,4.519,,,,,
362,07/06/22 10:15:00  AM,4.519,,,,,
363,07/06/22 10:30:00  AM,4.519,,,,,
364,07/06/22 10:45:00  AM,4.519,,,,,
365,07/06/22 11:00:00  AM,4.623,,,,,
366,07/06/22 11:15:00  AM,4.623,,,,,
367,07/06/22 11:30:00  AM,4.623,,,,,
368,07/06/22 11:45:00  AM,4.623,,,,,
369,07/06/22 12:00:00  PM,4.623,,,,,
370,07/06/22 12:15:00  PM,4.727,,,,,
371,07/06/22 12:30:00  PM,4.727,,,,,
372,07/06/22 12:45:00  PM,4.727,,,,,
373,07/06/22 01:00:00  PM,4.727,,,,,
374,07/06/22 01:15:00  PM,4.727,,,,,
375,07/06/22 01:30:00  PM,4.727,,,,,
376,07/06/22 01:45:00  PM,4.727,,,,,
377,07/06/22 02:00:00  PM,4.727,,,,,
378,07/06/22 02:15:00  PM,4.727,,,,,
379,07/06/22 02:30:00  PM,4.727,,,,,
380,07/06/22 02:45:00  PM,4.727,,,,,
381,07/06/22 03:00:00  PM,4.727,,,,,
382,07/06/22 03:15:00  PM,4.831,,,,,
383,07/06/22 03:30:00  PM,4.831,,,,,
384,07/06/22 03:45:00  PM,4.934,,,,,
385,07/06/22 04:00:00  PM,4.934,,,,,
386,07/06/22 04:15:00  PM,4.934,,,,,
387,07/06/22 04:30:00  PM,4.934,,,,,
388,07/06/22 04:45:00  PM,4.934,,,,,
389,07/06/22 05:00:00  PM,4.934,,,,,
390,07/06/22 05:15:00  PM,4.934,,,,,
391,07/06/22 05:30:00  PM,4.934,,,,,
392,07/06/22 05:45:00  PM,4.934,,,,,
393,07/06/22 06:00:00  PM,4.934,,,,,
394,07/06/22 06:15:00  PM,4.934,,,,,
395,07/06/22 06:30:00  PM,4.934,,,,,
396,07/06/22 06:45:00  PM,4.831,,,,,
397,07/06/22 07:00:00  PM,4.831,,,,,
398,07/06/22 07:15:00  PM,4.831,,,,,
399,07/06/22 07:30:00  PM,4.831,,,,,
400,07/06/22 07:45:00  PM,4.831,,,,,
401,07/06/22 08:00:00  PM,4.831,,,,,
402,07/06/22 08:15:00  PM,4.831,,,,,
403,07/06/22 08:30:00  PM,4.831,,,,,
404,07/06/22 08:45:00  PM,4.727,,,,,
405,07/06/22 09:00:00  PM,4.727,,,,,
406,07/06/22 09:15:00  PM,4.727,,,,,
407,07/06/22 09:30:00  PM,4.623,,,,,
408,07/06/22 09:45:00  PM,4.623,,,,,
409,07/06/22 10:00:00  PM,4.519,,,,,
410,07/06/22 10:15:00  PM,4.519,,,,,
411,07/06/22 10:30:00  PM,4.519,,,,,
412,07/06/22 10:45:00  PM,4.415,,,,,
413,07/06/22 11:00:00  PM,4.415,,,,,
414,07/06/22 11:15:00  PM,4.415,,,,,
415,07/06/22 11:30:00  PM,4.311,,,,,
416,07/06/22 11:45:00  PM,4.311,,,,,
417,07/07/22 12:00:00  AM,4.311,,,,,
418,07/07/22 12:15:00  AM,4.207,,,,,
419,07/07/22 12:30:00  AM,4.207,,,,,
420,07/07/22 12:45:00  AM,4.102,,,,,
421,07/07/22 01:00:00  AM,4.102,,,,,
422,07/07/22 01:15:00  AM,4.102,,,,,
423,07/07/22 01:30:00  AM,3.998,,,,,
424,07/07/22 01:45:00  AM,3.998,,,,,
425,07/07/22 02:00:00  AM,3.998,,,,,
426,07/07/22 02:15:00  AM,3.998,,,,,
427,07/07/22 02:30:00  AM,3.893,,,,,
428,07/07/22 02:45:00  AM,3.998,,,,,
429,07/07/22 03:00:00  AM,3.998,,,,,
430,07/07/22 03:15:00  AM,3.998,,,,,
431,07/07/22 03:30:00  AM,3.998,,,,,
432,07/07/22 03:45:00  AM,4.102,,,,,
433,07/07/22 04:00:00  AM,4.102,,,,,
434,07/07/22 04:15:00  AM,4.102,,,,,
435,07/07/22 04:30:00  AM,4.207,,,,,
436,07/07/22 04:45:00  AM,4.207,,,,,
437,07/07/22 05:00:00  AM,4.311,,,,,
438,07/07/22 05:15:00  AM,4.311,,,,,
439,07/07/22 05:30:00  AM,4.415,,,,,
440,07/07/22 05:45:00  AM,4.415,,,,,
441,07/07/22 06:00:00  AM,4.519,,,,,
442,07/07/22 06:15:00  AM,4.519,,,,,
443,07/07/22 06:30:00  AM,4.623,,,,,
444,07/07/22 06:45:00  AM,4.727,,,,,
445,07/07/22 07:00:00  AM,4.727,,,,,
446,07/07/22 07:15:00  AM,4.831,,,,,
447,07/07/22 07:30:00  AM,4.934,,,,,
448,07/07/22 07:45:00  AM,4.934,,,,,
449,07/07/22 08:00:00  AM,5.037,,,,,
450,07/07/22 08:15:00  AM,5.141,,,,,
451,07/07/22 08:30:00  AM,5.141,,,,,
452,07/07/22 08:45:00  AM,5.141,,,,,
453,07/07/22 09:00:00  AM,5.244,,,,,
454,07/07/22 09:15:00  AM,5.347,,,,,
455,07/07/22 09:30:00  AM,5.450,,,,,
456,07/07/22 09:45:00  AM,5.552,,,,,
457,07/07/22 10:00:00  AM,5.655,,,,,
458,07/07/22 10:15:00  AM,5.757,,,,,
459,07/07/22 10:30:00  AM,5.962,,,,,
460,07/07/22 10:45:00  AM,6.166,,,,,
461,07/07/22 11:00:00  AM,6.370,,,,,
462,07/07/22 11:15:00  AM,6.674,,,,,
463,07/07/22 11:30:00  AM,6.877,,,,,
464,07/07/22 11:45:00  AM,7.179,,,,,
465,07/07/22 12:00:00  PM,7.381,,,,,
466,07/07/22 12:15:00  PM,7.582,,,,,
467,07/07/22 12:30:00  PM,7.882,,,,,
468,07/07/22 12:45:00  PM,8.082,,,,,
469,07/07/22 01:00:00  PM,8.282,,,,,
470,07/07/22 01:15:00  PM,8.581,,,,,
471,07/07/22 01:30:00  PM,8.779,,,,,
472,07/07/22 01:45:00  PM,8.879,,,,,
473,07/07/22 02:00:00  PM,9.077,,,,,
474,07/07/22 02:15:00  PM,9.275,,,,,
475,07/07/22 02:30:00  PM,9.373,,,,,
476,07/07/22 02:45:00  PM,9.571,,,,,
477,07/07/22 03:00:00  PM,9.669,,,,,
478,07/07/22 03:15:00  PM,9.768,,,,,
479,07/07/22 03:30:00  PM,9.768,,,,,
480,07/07/22 03:45:00  PM,9.866,,,,,
481,07/07/22 04:00:00  PM,9.965,,,,,
482,07/07/22 04:15:00  PM,10.063,,,,,
483,07/07/22 04:30:00  PM,10.063,,,,,
484,07/07/22 04:45:00  PM,10.063,,,,,
485,07/07/22 05:00:00  PM,10.063,,,,,
486,07/07/22 05:15:00  PM,10.063,,,,,
487,07/07/22 05:30:00  PM,10.063,,,,,
488,07/07/22 05:45:00  PM,9.965,,,,,
489,07/07/22 06:00:00  PM,9.965,,,,,
490,07/07/22 06:15:00  PM,9.866,,,,,
491,07/07/22 06:30:00  PM,9.768,,,,,
492,07/07/22 06:45:00  PM,9.669,,,,,
493,07/07/22 07:00:00  PM,9.472,,,,,
494,07/07/22 07:15:00  PM,9.373,,,,,
495,07/07/22 07:30:00  PM,9.275,,,,,
496,07/07/22 07:45:00  PM,9.077,,,,,
497,07/07/22 08:00:00  PM,8.978,,,,,
498,07/07/22 08:15:00  PM,8.779,,,,,
499,07/07/22 08:30:00  PM,8.581,,,,,
500,07/07/22 08:45:00  PM,8.481,,,,,
501,07/07/22 09:00:00  PM,8.282,,,,,
502,07/07/22 09:15:00  PM,8.182,,,,,
503,07/07/22 09:30:00  PM,7.983,,,,,
504,07/07/22 09:45:00  PM,7.882,,,,,
505,07/07/22 10:00:00  PM,7.682,,,,,
506,07/07/22 10:15:00  PM,7.582,,,,,
507,07/07/22 10:30:00  PM,7.381,,,,,
508,07/07/22 10:45:00  PM,7.280,,,,,
509,07/07/22 11:00:00  PM,7.079,,,,,
510,07/07/22 11:15:00  PM,6.978,,,,,
511,07/07/22 11:30:00  PM,6.877,,,,,
