site,plot,treatment,light,year,DOY,hhmm,ss.s,battery_V,CO2_v,CO2_ppm,H2O_v,H2O_ppt,T_panel,T_soil,T_air
WILL,NA,NA,NA,+2022.  ,+208.   ,+1159.  ,+58.2   ,+11.605 ,+1.9271 ,+385.41,+.71373 ,+11.420 ,+19.684 ,+13.530 ,+17.164 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1159.  ,+59.2   ,+11.633 ,+1.9188 ,+383.75,+.71997 ,+11.519 ,+19.697 ,+13.491 ,+17.177 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+.2     ,+11.611 ,+1.9153 ,+383.06,+.73036 ,+11.686 ,+19.686 ,+13.429 ,+17.149 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+1.2    ,+11.602 ,+1.9170 ,+383.40,+.73590 ,+11.774 ,+19.709 ,+13.366 ,+17.155 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+2.2    ,+11.575 ,+1.9233 ,+384.65,+.73625 ,+11.780 ,+19.709 ,+13.331 ,+17.155 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+3.2    ,+11.581 ,+1.9236 ,+384.72,+.74179 ,+11.869 ,+19.711 ,+13.299 ,+17.123 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+4.2    ,+11.545 ,+1.9132 ,+382.64,+.74491 ,+11.919 ,+19.722 ,+13.258 ,+17.133 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+5.2    ,+11.383 ,+1.9084 ,+381.67,+.75149 ,+12.024 ,+19.734 ,+13.253 ,+17.112 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+6.2    ,+11.578 ,+1.9097 ,+381.95,+.75842 ,+12.135 ,+19.734 ,+13.201 ,+17.112 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+7.2    ,+11.366 ,+1.9139 ,+382.78,+.76778 ,+12.284 ,+19.747 ,+13.179 ,+17.090 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+8.2    ,+11.559 ,+1.9028 ,+380.56,+.77194 ,+12.351 ,+19.747 ,+13.145 ,+17.090 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+9.2    ,+11.594 ,+1.9070 ,+381.39,+.77609 ,+12.417 ,+19.759 ,+13.140 ,+17.068 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+10.2   ,+11.548 ,+1.8966 ,+379.32,+.77990 ,+12.478 ,+19.759 ,+13.106 ,+17.068 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+11.2   ,+11.556 ,+1.9097 ,+381.95,+.78857 ,+12.617 ,+19.762 ,+13.056 ,+17.036 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+12.2   ,+11.435 ,+1.8980 ,+379.59,+.78649 ,+12.584 ,+19.772 ,+13.015 ,+17.047 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+13.2   ,+11.586 ,+1.9049 ,+380.98,+.79411 ,+12.706 ,+19.774 ,+12.948 ,+17.014 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+14.2   ,+11.646 ,+1.9021 ,+380.42,+.80104 ,+12.817 ,+19.785 ,+12.924 ,+17.025 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1200.  ,+15.2   ,+11.526 ,+1.8938 ,+378.76,+.80485 ,+12.878 ,+19.797 ,+12.919 ,+17.003 
