site,plot,treatment,light,X1,year,DOY,hhmm,ss.s,battery_V,CO2_v,CO2_ppm,H2O_v,H2O_ppt,T_panel,T_soil,T_air,X14,X15
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+39.2   ,+11.626 ,+2.0153 ,+403.05,+.47556 ,+7.6090 ,+15.315 ,+5.9105 ,-62.356 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+40.2   ,+11.708 ,+2.0140 ,+402.81,+.47903 ,+7.6645 ,+15.315 ,+5.9105 ,-71.252 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+41.2   ,+11.598 ,+2.0064 ,+401.28,+.47695 ,+7.6312 ,+15.315 ,+5.8930 ,-53.753 ,-.00343 ,-.18472
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+42.2   ,+11.683 ,+2.0097 ,+401.94,+.47734 ,+7.6374 ,+15.315 ,+5.8930 ,-67.064 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+43.2   ,+11.444 ,+2.0085 ,+401.70,+.48458 ,+7.7532 ,+15.315 ,+5.8930 ,-80.194 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+44.2   ,+11.730 ,+2.0158 ,+403.15,+.48111 ,+7.6977 ,+15.315 ,+5.8930 ,-44.640 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+45.2   ,+11.810 ,+2.0088 ,+401.77,+.48115 ,+7.6984 ,+15.315 ,+5.9105 ,-68.034 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+46.2   ,+11.496 ,+2.0111 ,+402.22,+.48250 ,+7.7199 ,+15.315 ,+5.9097 ,-60.011 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+47.2   ,+11.755 ,+2.0090 ,+401.80,+.48531 ,+7.7650 ,+15.303 ,+5.8978 ,-60.429 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+48.2   ,+11.744 ,+2.0059 ,+401.18,+.48943 ,+7.8308 ,+15.303 ,+5.8978 ,-71.629 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+49.2   ,+11.543 ,+2.0055 ,+401.11,+.48427 ,+7.7483 ,+15.303 ,+5.8978 ,-74.945 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+50.2   ,+11.724 ,+2.0057 ,+401.14,+.49016 ,+7.8426 ,+15.303 ,+5.8978 ,-62.743 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+51.2   ,+11.766 ,+2.0118 ,+402.36,+.48943 ,+7.8308 ,+15.303 ,+5.8987 ,-84.306 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+52.2   ,+11.615 ,+2.0042 ,+400.83,+.48873 ,+7.8198 ,+15.303 ,+5.8987 ,-62.004 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+53.2   ,+11.751 ,+2.0036 ,+400.73,+.49051 ,+7.8482 ,+15.303 ,+5.8987 ,-80.230 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+54.2   ,+11.634 ,+2.0045 ,+400.90,+.49220 ,+7.8752 ,+15.303 ,+5.8812 ,-75.908 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+55.2   ,+11.565 ,+2.0016 ,+400.31,+.49155 ,+7.8648 ,+15.303 ,+5.8987 ,-55.240 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+56.2   ,+11.716 ,+2.0071 ,+401.42,+.49502 ,+7.9203 ,+15.303 ,+5.8978 ,-80.646 ,+0.0000 ,+0.0000
