"Plot Title: WILL_11C_CO2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20547764, SEN S/N: 20547764, LBL: 10_cm)","Good Battery (LGR S/N: 20547764)","Coupler Attached (LGR S/N: 20547764)","Host Connected (LGR S/N: 20547764)","Stopped (LGR S/N: 20547764)","End Of File (LGR S/N: 20547764)"
297,07/02/22 04:00:00  PM,10.846,,,,,
298,07/02/22 04:30:00  PM,10.748,,,,,
299,07/02/22 05:00:00  PM,9.571,,,,,
300,07/02/22 05:30:00  PM,9.768,,,,,
301,07/02/22 06:00:00  PM,7.179,,,,,
302,07/02/22 06:30:00  PM,8.581,,,,,
303,07/02/22 07:00:00  PM,7.782,,,,,
304,07/02/22 07:30:00  PM,7.481,,,,,
305,07/02/22 08:00:00  PM,7.882,,,,,
306,07/02/22 08:30:00  PM,6.268,,,,,
307,07/02/22 09:00:00  PM,6.775,,,,,
308,07/02/22 09:30:00  PM,6.573,,,,,
309,07/02/22 10:00:00  PM,6.370,,,,,
310,07/02/22 10:30:00  PM,6.064,,,,,
311,07/02/22 11:00:00  PM,5.655,,,,,
312,07/02/22 11:30:00  PM,6.064,,,,,
313,07/03/22 12:00:00  AM,5.860,,,,,
314,07/03/22 12:30:00  AM,5.860,,,,,
315,07/03/22 01:00:00  AM,5.037,,,,,
316,07/03/22 01:30:00  AM,5.037,,,,,
317,07/03/22 02:00:00  AM,5.757,,,,,
318,07/03/22 02:30:00  AM,4.831,,,,,
319,07/03/22 03:00:00  AM,4.311,,,,,
320,07/03/22 03:30:00  AM,3.683,,,,,
321,07/03/22 04:00:00  AM,4.207,,,,,
322,07/03/22 04:30:00  AM,4.311,,,,,
323,07/03/22 05:00:00  AM,3.578,,,,,
324,07/03/22 05:30:00  AM,3.893,,,,,
325,07/03/22 06:00:00  AM,4.415,,,,,
326,07/03/22 06:30:00  AM,4.831,,,,,
327,07/03/22 07:00:00  AM,5.962,,,,,
328,07/03/22 07:30:00  AM,7.381,,,,,
329,07/03/22 08:00:00  AM,6.166,,,,,
330,07/03/22 08:30:00  AM,6.370,,,,,
331,07/03/22 09:00:00  AM,6.775,,,,,
332,07/03/22 09:30:00  AM,5.860,,,,,
333,07/03/22 10:00:00  AM,6.268,,,,,
334,07/03/22 10:30:00  AM,7.381,,,,,
335,07/03/22 11:00:00  AM,7.582,,,,,
336,07/03/22 11:30:00  AM,7.280,,,,,
337,07/03/22 12:00:00  PM,7.179,,,,,
338,07/03/22 12:30:00  PM,7.079,,,,,
339,07/03/22 01:00:00  PM,7.179,,,,,
340,07/03/22 01:30:00  PM,6.370,,,,,
341,07/03/22 02:00:00  PM,6.674,,,,,
342,07/03/22 02:30:00  PM,5.552,,,,,
343,07/03/22 03:00:00  PM,6.471,,,,,
344,07/03/22 03:30:00  PM,6.877,,,,,
345,07/03/22 04:00:00  PM,6.166,,,,,
346,07/03/22 04:30:00  PM,5.450,,,,,
347,07/03/22 05:00:00  PM,5.757,,,,,
348,07/03/22 05:30:00  PM,5.347,,,,,
349,07/03/22 06:00:00  PM,4.934,,,,,
350,07/03/22 06:30:00  PM,4.831,,,,,
351,07/03/22 07:00:00  PM,5.347,,,,,
352,07/03/22 07:30:00  PM,5.037,,,,,
353,07/03/22 08:00:00  PM,4.311,,,,,
354,07/03/22 08:30:00  PM,4.207,,,,,
355,07/03/22 09:00:00  PM,4.102,,,,,
356,07/03/22 09:30:00  PM,3.472,,,,,
357,07/03/22 10:00:00  PM,3.261,,,,,
358,07/03/22 10:30:00  PM,2.730,,,,,
359,07/03/22 11:00:00  PM,2.410,,,,,
360,07/03/22 11:30:00  PM,2.837,,,,,
361,07/04/22 12:00:00  AM,2.943,,,,,
362,07/04/22 12:30:00  AM,3.261,,,,,
363,07/04/22 01:00:00  AM,3.261,,,,,
364,07/04/22 01:30:00  AM,3.155,,,,,
365,07/04/22 02:00:00  AM,3.683,,,,,
366,07/04/22 02:30:00  AM,3.472,,,,,
367,07/04/22 03:00:00  AM,3.788,,,,,
368,07/04/22 03:30:00  AM,3.788,,,,,
369,07/04/22 04:00:00  AM,3.788,,,,,
370,07/04/22 04:30:00  AM,4.311,,,,,
371,07/04/22 05:00:00  AM,4.727,,,,,
372,07/04/22 05:30:00  AM,4.727,,,,,
373,07/04/22 06:00:00  AM,4.831,,,,,
374,07/04/22 06:30:00  AM,5.450,,,,,
375,07/04/22 07:00:00  AM,6.268,,,,,
376,07/04/22 07:30:00  AM,7.179,,,,,
