"Plot Title: WILL_14C_CO2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20547762, SEN S/N: 20547762, LBL: 10_cm)","Host Connected (LGR S/N: 20547762)","Coupler Attached (LGR S/N: 20547762)","Stopped (LGR S/N: 20547762)","End Of File (LGR S/N: 20547762)"
238,07/01/22 10:30:00  AM,14.325,,,,
239,07/01/22 11:00:00  AM,10.553,,,,
240,07/01/22 11:30:00  AM,9.275,,,,
241,07/01/22 12:00:00  PM,9.275,,,,
242,07/01/22 12:30:00  PM,10.651,,,,
243,07/01/22 01:00:00  PM,13.076,,,,
244,07/01/22 01:30:00  PM,13.654,,,,
245,07/01/22 02:00:00  PM,11.528,,,,
246,07/01/22 02:30:00  PM,10.748,,,,
247,07/01/22 03:00:00  PM,11.236,,,,
248,07/01/22 03:30:00  PM,9.965,,,,
249,07/01/22 04:00:00  PM,7.682,,,,
250,07/01/22 04:30:00  PM,6.573,,,,
251,07/01/22 05:00:00  PM,6.471,,,,
252,07/01/22 05:30:00  PM,6.268,,,,
253,07/01/22 06:00:00  PM,6.370,,,,
254,07/01/22 06:30:00  PM,5.962,,,,
255,07/01/22 07:00:00  PM,5.552,,,,
256,07/01/22 07:30:00  PM,5.244,,,,
257,07/01/22 08:00:00  PM,5.037,,,,
258,07/01/22 08:30:00  PM,4.415,,,,
259,07/01/22 09:00:00  PM,5.037,,,,
260,07/01/22 09:30:00  PM,5.037,,,,
261,07/01/22 10:00:00  PM,5.244,,,,
262,07/01/22 10:30:00  PM,4.415,,,,
263,07/01/22 11:00:00  PM,4.727,,,,
264,07/01/22 11:30:00  PM,3.788,,,,
265,07/02/22 12:00:00  AM,4.623,,,,
266,07/02/22 12:30:00  AM,5.450,,,,
267,07/02/22 01:00:00  AM,3.578,,,,
268,07/02/22 01:30:00  AM,4.207,,,,
269,07/02/22 02:00:00  AM,3.893,,,,
270,07/02/22 02:30:00  AM,3.578,,,,
271,07/02/22 03:00:00  AM,4.727,,,,
272,07/02/22 03:30:00  AM,4.519,,,,
273,07/02/22 04:00:00  AM,5.347,,,,
274,07/02/22 04:30:00  AM,5.962,,,,
275,07/02/22 05:00:00  AM,6.166,,,,
276,07/02/22 05:30:00  AM,5.860,,,,
277,07/02/22 06:00:00  AM,5.962,,,,
278,07/02/22 06:30:00  AM,4.415,,,,
279,07/02/22 07:00:00  AM,5.450,,,,
280,07/02/22 07:30:00  AM,5.450,,,,
281,07/02/22 08:00:00  AM,7.179,,,,
282,07/02/22 08:30:00  AM,6.471,,,,
283,07/02/22 09:00:00  AM,7.481,,,,
284,07/02/22 09:30:00  AM,9.571,,,,
285,07/02/22 10:00:00  AM,8.879,,,,
286,07/02/22 10:30:00  AM,9.965,,,,
287,07/02/22 11:00:00  AM,11.041,,,,
288,07/02/22 11:30:00  AM,11.916,,,,
289,07/02/22 12:00:00  PM,12.401,,,,
290,07/02/22 12:30:00  PM,12.690,,,,
291,07/02/22 01:00:00  PM,11.139,,,,
292,07/02/22 01:30:00  PM,11.431,,,,
293,07/02/22 02:00:00  PM,10.944,,,,
294,07/02/22 02:30:00  PM,12.304,,,,
295,07/02/22 03:00:00  PM,9.669,,,,
296,07/02/22 03:30:00  PM,10.944,,,,
297,07/02/22 04:00:00  PM,10.553,,,,
298,07/02/22 04:30:00  PM,10.944,,,,
299,07/02/22 05:00:00  PM,9.176,,,,
300,07/02/22 05:30:00  PM,9.571,,,,
301,07/02/22 06:00:00  PM,7.179,,,,
302,07/02/22 06:30:00  PM,8.879,,,,
303,07/02/22 07:00:00  PM,7.782,,,,
304,07/02/22 07:30:00  PM,7.481,,,,
305,07/02/22 08:00:00  PM,7.782,,,,
306,07/02/22 08:30:00  PM,6.268,,,,
307,07/02/22 09:00:00  PM,6.775,,,,
308,07/02/22 09:30:00  PM,6.471,,,,
309,07/02/22 10:00:00  PM,6.166,,,,
310,07/02/22 10:30:00  PM,5.860,,,,
311,07/02/22 11:00:00  PM,5.244,,,,
312,07/02/22 11:30:00  PM,5.860,,,,
313,07/03/22 12:00:00  AM,5.655,,,,
314,07/03/22 12:30:00  AM,5.757,,,,
315,07/03/22 01:00:00  AM,5.037,,,,
316,07/03/22 01:30:00  AM,5.141,,,,
317,07/03/22 02:00:00  AM,5.655,,,,
318,07/03/22 02:30:00  AM,4.727,,,,
319,07/03/22 03:00:00  AM,4.207,,,,
320,07/03/22 03:30:00  AM,3.578,,,,
321,07/03/22 04:00:00  AM,4.311,,,,
322,07/03/22 04:30:00  AM,4.311,,,,
323,07/03/22 05:00:00  AM,3.683,,,,
324,07/03/22 05:30:00  AM,3.998,,,,
325,07/03/22 06:00:00  AM,4.519,,,,
326,07/03/22 06:30:00  AM,4.934,,,,
