"Plot Title: IRGA_LightMeasure"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20553056, SEN S/N: 20553056)","Intensity, Lux (LGR S/N: 20553056, SEN S/N: 20553056)","End Of File (LGR S/N: 20553056)"
382,07/11/22 01:10:30  PM,26.097,0.0,
383,07/11/22 01:11:00  PM,25.902,96.9,
384,07/11/22 01:11:30  PM,25.902,0.0,
385,07/11/22 01:12:00  PM,25.805,0.0,
386,07/11/22 01:12:30  PM,25.708,0.0,
387,07/11/22 01:13:00  PM,25.610,0.0,
388,07/11/22 01:13:30  PM,25.513,0.0,
389,07/11/22 01:14:00  PM,25.513,0.0,
390,07/11/22 01:14:30  PM,25.416,0.0,
391,07/11/22 01:15:00  PM,25.319,0.0,
392,07/11/22 01:15:30  PM,25.222,0.0,
393,07/11/22 01:16:00  PM,25.222,161.5,
394,07/11/22 01:16:30  PM,25.222,1097.9,
395,07/11/22 01:17:00  PM,25.125,0.0,
396,07/11/22 01:17:30  PM,25.125,0.0,
397,07/11/22 01:18:00  PM,25.222,0.0,
398,07/11/22 01:18:30  PM,25.319,0.0,
399,07/11/22 01:19:00  PM,25.416,0.0,
400,07/11/22 01:19:30  PM,25.610,0.0,
401,07/11/22 01:20:00  PM,25.708,0.0,
402,07/11/22 01:20:30  PM,25.805,0.0,
403,07/11/22 01:21:00  PM,26.000,0.0,
404,07/11/22 01:21:30  PM,26.097,0.0,
405,07/11/22 01:22:00  PM,26.195,0.0,
406,07/11/22 01:22:30  PM,26.292,0.0,
407,07/11/22 01:23:00  PM,26.390,0.0,
408,07/11/22 01:23:30  PM,26.488,0.0,
409,07/11/22 01:24:00  PM,26.585,0.0,
410,07/11/22 01:24:30  PM,26.585,0.0,
411,07/11/22 01:25:00  PM,26.683,0.0,
412,07/11/22 01:25:30  PM,26.683,0.0,
413,07/11/22 01:26:00  PM,26.781,0.0,
414,07/11/22 01:26:30  PM,26.879,0.0,
415,07/11/22 01:27:00  PM,26.879,0.0,
416,07/11/22 01:27:30  PM,26.977,0.0,
417,07/11/22 01:28:00  PM,27.075,0.0,
418,07/11/22 01:28:30  PM,27.173,0.0,
419,07/11/22 01:29:00  PM,27.272,0.0,
420,07/11/22 01:29:30  PM,27.272,0.0,
421,07/11/22 01:30:00  PM,27.272,0.0,
422,07/11/22 01:30:30  PM,27.272,0.0,
423,07/11/22 01:31:00  PM,27.272,0.0,
424,07/11/22 01:31:30  PM,27.272,0.0,
425,07/11/22 01:32:00  PM,27.370,0.0,
426,07/11/22 01:32:30  PM,27.468,0.0,
427,07/11/22 01:33:00  PM,27.468,0.0,
428,07/11/22 01:33:30  PM,27.567,0.0,
429,07/11/22 01:34:00  PM,27.567,0.0,
430,07/11/22 01:34:30  PM,27.665,0.0,
431,07/11/22 01:35:00  PM,27.764,0.0,
432,07/11/22 01:35:30  PM,27.764,0.0,
433,07/11/22 01:36:00  PM,27.862,0.0,
434,07/11/22 01:36:30  PM,27.862,10.8,
435,07/11/22 01:37:00  PM,27.961,0.0,
436,07/11/22 01:37:30  PM,27.961,0.0,
437,07/11/22 01:38:00  PM,27.961,0.0,
438,07/11/22 01:38:30  PM,27.862,0.0,
439,07/11/22 01:39:00  PM,27.764,0.0,
440,07/11/22 01:39:30  PM,27.764,0.0,
441,07/11/22 01:40:00  PM,27.764,0.0,
442,07/11/22 01:40:30  PM,27.665,0.0,
443,07/11/22 01:41:00  PM,27.665,0.0,
444,07/11/22 01:41:30  PM,27.665,0.0,
445,07/11/22 01:42:00  PM,27.665,0.0,
446,07/11/22 01:42:30  PM,27.665,0.0,
447,07/11/22 01:43:00  PM,27.665,0.0,
448,07/11/22 01:43:30  PM,27.764,0.0,
449,07/11/22 01:44:00  PM,27.764,0.0,
450,07/11/22 01:44:30  PM,27.764,0.0,
451,07/11/22 01:45:00  PM,27.665,0.0,
452,07/11/22 01:45:30  PM,27.567,0.0,
453,07/11/22 01:46:00  PM,27.370,0.0,
454,07/11/22 01:46:30  PM,27.272,10.8,
455,07/11/22 01:47:00  PM,27.173,0.0,
456,07/11/22 01:47:30  PM,27.075,0.0,
457,07/11/22 01:48:00  PM,26.879,64.6,
458,07/11/22 01:48:30  PM,26.683,0.0,
459,07/11/22 01:49:00  PM,26.390,0.0,
460,07/11/22 01:49:30  PM,26.097,0.0,
461,07/11/22 01:50:00  PM,25.902,0.0,
462,07/11/22 01:50:30  PM,25.610,193.8,
463,07/11/22 01:51:00  PM,25.319,0.0,
464,07/11/22 01:51:30  PM,24.835,0.0,
465,07/11/22 01:52:00  PM,24.545,0.0,
466,07/11/22 01:52:30  PM,24.255,0.0,
467,07/11/22 01:53:00  PM,24.158,161.5,
468,07/11/22 01:53:30  PM,23.773,0.0,
469,07/11/22 01:54:00  PM,23.484,0.0,
470,07/11/22 01:54:30  PM,23.388,0.0,
471,07/11/22 01:55:00  PM,23.292,0.0,
472,07/11/22 01:55:30  PM,23.196,0.0,
473,07/11/22 01:56:00  PM,23.100,0.0,
474,07/11/22 01:56:30  PM,23.100,0.0,
475,07/11/22 01:57:00  PM,23.004,0.0,
476,07/11/22 01:57:30  PM,23.004,602.8,
