"Plot Title: IRGA_LightMeasure"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20553056, SEN S/N: 20553056)","Intensity, Lux (LGR S/N: 20553056, SEN S/N: 20553056)","Coupler Detached (LGR S/N: 20553056)","Coupler Attached (LGR S/N: 20553056)","Host Connected (LGR S/N: 20553056)","Stopped (LGR S/N: 20553056)","End Of File (LGR S/N: 20553056)"
273,07/26/22 11:15:30  AM,22.333,0.0,,,,,
274,07/26/22 11:16:00  AM,21.951,0.0,,,,,
275,07/26/22 11:16:30  AM,21.569,0.0,,,,,
276,07/26/22 11:17:00  AM,21.282,0.0,,,,,
277,07/26/22 11:17:30  AM,21.473,1808.3,,,,,
278,07/26/22 11:18:00  AM,21.855,2411.1,,,,,
279,07/26/22 11:18:30  AM,22.333,1636.1,,,,,
280,07/26/22 11:19:00  AM,22.717,495.1,,,,,
281,07/26/22 11:19:30  AM,23.388,1894.5,,,,,
282,07/26/22 11:20:00  AM,24.062,269.1,,,,,
283,07/26/22 11:20:30  AM,25.125,126756.4,,,,,
284,07/26/22 11:21:00  AM,24.835,258.3,,,,,
285,07/26/22 11:21:30  AM,24.545,269.1,,,,,
286,07/26/22 11:22:00  AM,24.448,32.3,,,,,
287,07/26/22 11:22:30  AM,24.448,118.4,,,,,
288,07/26/22 11:23:00  AM,24.448,204.5,,,,,
289,07/26/22 11:23:30  AM,24.641,322.9,,,,,
290,07/26/22 11:24:00  AM,25.125,2152.8,,,,,
291,07/26/22 11:24:30  AM,25.805,2238.9,,,,,
292,07/26/22 11:25:00  AM,26.488,301.4,,,,,
293,07/26/22 11:25:30  AM,26.683,269.1,,,,,
294,07/26/22 11:26:00  AM,26.683,398.3,,,,,
295,07/26/22 11:26:30  AM,26.781,215.3,,,,,
296,07/26/22 11:27:00  AM,26.781,290.6,,,,,
297,07/26/22 11:27:30  AM,26.390,258.3,,,,,
298,07/26/22 11:28:00  AM,26.000,279.9,,,,,
299,07/26/22 11:28:30  AM,25.513,322.9,,,,,
300,07/26/22 11:29:00  AM,25.125,258.3,,,,,
301,07/26/22 11:29:30  AM,24.641,226.0,,,,,
302,07/26/22 11:30:00  AM,24.158,258.3,,,,,
303,07/26/22 11:30:30  AM,23.773,355.2,,,,,
304,07/26/22 11:31:00  AM,23.388,247.6,,,,,
305,07/26/22 11:31:30  AM,23.100,344.4,,,,,
306,07/26/22 11:32:00  AM,22.812,172.2,,,,,
307,07/26/22 11:32:30  AM,22.525,161.5,,,,,
308,07/26/22 11:33:00  AM,22.238,215.3,,,,,
309,07/26/22 11:33:30  AM,22.046,236.8,,,,,
310,07/26/22 11:34:00  AM,21.855,215.3,,,,,
311,07/26/22 11:34:30  AM,21.664,226.0,,,,,
312,07/26/22 11:35:00  AM,21.664,452.1,,,,,
313,07/26/22 11:35:30  AM,21.760,290.6,,,,,
314,07/26/22 11:36:00  AM,21.760,409.0,,,,,
315,07/26/22 11:36:30  AM,21.855,430.6,,,,,
316,07/26/22 11:37:00  AM,21.855,516.7,,,,,
317,07/26/22 11:37:30  AM,21.951,495.1,,,,,
318,07/26/22 11:38:00  AM,22.046,495.1,,,,,
319,07/26/22 11:38:30  AM,22.142,613.5,,,,,
320,07/26/22 11:39:00  AM,22.333,441.3,,,,,
321,07/26/22 11:39:30  AM,22.429,462.9,,,,,
322,07/26/22 11:40:00  AM,22.429,269.1,,,,,
323,07/26/22 11:40:30  AM,22.238,193.8,,,,,
324,07/26/22 11:41:00  AM,21.855,204.5,,,,,
325,07/26/22 11:41:30  AM,21.569,183.0,,,,,
326,07/26/22 11:42:00  AM,21.282,279.9,,,,,
327,07/26/22 11:42:30  AM,21.091,344.4,,,,,
328,07/26/22 11:43:00  AM,20.996,355.2,,,,,
329,07/26/22 11:43:30  AM,20.710,183.0,,,,,
330,07/26/22 11:44:00  AM,20.615,139.9,,,,,
331,07/26/22 11:44:30  AM,20.424,0.0,,,,,
332,07/26/22 11:45:00  AM,20.424,0.0,,,,,
333,07/26/22 11:45:30  AM,20.615,0.0,,,,,
334,07/26/22 11:46:00  AM,20.615,0.0,,,,,
335,07/26/22 11:46:30  AM,20.710,0.0,,,,,
336,07/26/22 11:47:00  AM,20.805,21.5,,,,,
337,07/26/22 11:47:30  AM,21.091,10.8,,,,,
338,07/26/22 11:48:00  AM,21.473,21.5,,,,,
339,07/26/22 11:48:30  AM,21.855,10.8,,,,,
340,07/26/22 11:49:00  AM,22.238,0.0,,,,,
341,07/26/22 11:49:30  AM,22.429,0.0,,,,,
342,07/26/22 11:50:00  AM,22.717,0.0,,,,,
343,07/26/22 11:50:30  AM,22.908,0.0,,,,,
344,07/26/22 11:51:00  AM,23.004,0.0,,,,,
345,07/26/22 11:51:30  AM,23.100,0.0,,,,,
346,07/26/22 11:52:00  AM,23.292,441.3,,,,,
347,07/26/22 11:52:30  AM,23.581,215.3,,,,,
348,07/26/22 11:53:00  AM,24.062,419.8,,,,,
349,07/26/22 11:53:30  AM,24.641,958.0,,,,,
350,07/26/22 11:54:00  AM,25.222,990.3,,,,,
351,07/26/22 11:54:30  AM,25.805,785.8,,,,,
352,07/26/22 11:55:00  AM,26.292,150.7,,,,,
353,07/26/22 11:55:30  AM,26.781,183.0,,,,,
354,07/26/22 11:56:00  AM,27.272,344.4,,,,,
355,07/26/22 11:56:30  AM,27.764,678.1,,,,,
356,07/26/22 11:57:00  AM,28.159,366.0,,,,,
357,07/26/22 11:57:30  AM,28.258,0.0,,,,,
358,07/26/22 11:58:00  AM,28.159,0.0,,,,,
359,07/26/22 11:58:30  AM,28.060,0.0,,,,,
360,07/26/22 11:59:00  AM,27.764,0.0,,,,,
361,07/26/22 11:59:30  AM,27.567,0.0,,,,,
362,07/26/22 12:00:00  PM,27.370,53.8,,,,,
363,07/26/22 12:00:30  PM,27.075,1550.0,,,,,
364,07/26/22 12:01:00  PM,26.879,21.5,,,,,
365,07/26/22 12:01:30  PM,26.585,0.0,,,,,
366,07/26/22 12:02:00  PM,26.390,409.0,,,,,
367,07/26/22 12:02:30  PM,26.097,0.0,,,,,
368,07/26/22 12:03:00  PM,26.000,1291.7,,,,,
369,07/26/22 12:03:30  PM,26.000,1065.6,,,,,
370,07/26/22 12:04:00  PM,25.805,1022.6,,,,,
371,07/26/22 12:04:30  PM,25.708,1550.0,,,,,
372,07/26/22 12:05:00  PM,25.513,1722.2,,,,,
373,07/26/22 12:05:30  PM,25.513,1894.5,,,,,
374,07/26/22 12:06:00  PM,25.513,1722.2,,,,,
375,07/26/22 12:06:30  PM,25.610,1636.1,,,,,
376,07/26/22 12:07:00  PM,25.610,2755.6,,,,,
377,07/26/22 12:07:30  PM,25.708,1237.9,,,,,
378,07/26/22 12:08:00  PM,25.708,1636.1,,,,,
379,07/26/22 12:08:30  PM,25.708,1280.9,,,,,
380,07/26/22 12:09:00  PM,25.708,1550.0,,,,,
381,07/26/22 12:09:30  PM,25.805,645.8,,,,,
382,07/26/22 12:10:00  PM,25.902,1980.6,,,,,
383,07/26/22 12:10:30  PM,26.000,2152.8,,,,,
384,07/26/22 12:11:00  PM,26.097,1636.1,,,,,
385,07/26/22 12:11:30  PM,26.195,1248.6,,,,,
386,07/26/22 12:12:00  PM,26.292,1377.8,,,,,
387,07/26/22 12:12:30  PM,26.390,731.9,,,,,
388,07/26/22 12:13:00  PM,26.390,2152.8,,,,,
389,07/26/22 12:13:30  PM,26.488,1808.3,,,,,
390,07/26/22 12:14:00  PM,26.488,581.3,,,,,
391,07/26/22 12:14:30  PM,26.488,721.2,,,,,
392,07/26/22 12:15:00  PM,26.488,1636.1,,,,,
393,07/26/22 12:15:30  PM,26.488,2238.9,,,,,
394,07/26/22 12:16:00  PM,26.585,2238.9,,,,,
395,07/26/22 12:16:30  PM,26.781,96.9,,,,,
396,07/26/22 12:17:00  PM,26.879,161.5,,,,,
397,07/26/22 12:17:30  PM,26.879,183.0,,,,,
398,07/26/22 12:18:00  PM,26.879,678.1,,,,,
399,07/26/22 12:18:30  PM,26.879,86.1,,,,,
400,07/26/22 12:19:00  PM,26.879,344.4,,,,,
401,07/26/22 12:19:30  PM,26.879,656.6,,,,,
402,07/26/22 12:20:00  PM,26.879,215.3,,,,,
403,07/26/22 12:20:30  PM,26.977,150.7,,,,,
404,07/26/22 12:21:00  PM,26.879,118.4,,,,,
405,07/26/22 12:21:30  PM,26.781,75.3,,,,,
406,07/26/22 12:22:00  PM,26.879,32.3,,,,,
407,07/26/22 12:22:30  PM,26.977,21.5,,,,,
408,07/26/22 12:23:00  PM,27.173,376.7,,,,,
409,07/26/22 12:23:30  PM,27.272,430.6,,,,,
410,07/26/22 12:24:00  PM,27.173,430.6,,,,,
411,07/26/22 12:24:30  PM,27.075,441.3,,,,,
412,07/26/22 12:25:00  PM,26.977,419.8,,,,,
413,07/26/22 12:25:30  PM,26.977,355.2,,,,,
414,07/26/22 12:26:00  PM,26.879,441.3,,,,,
415,07/26/22 12:26:30  PM,26.781,193.8,,,,,
416,07/26/22 12:27:00  PM,26.781,473.6,,,,,
417,07/26/22 12:27:30  PM,26.781,452.1,,,,,
418,07/26/22 12:28:00  PM,26.683,247.6,,,,,
419,07/26/22 12:28:30  PM,26.683,559.7,,,,,
420,07/26/22 12:29:00  PM,26.585,505.9,,,,,
421,07/26/22 12:29:30  PM,26.585,344.4,,,,,
422,07/26/22 12:30:00  PM,26.585,516.7,,,,,
423,07/26/22 12:30:30  PM,26.488,355.2,,,,,
424,07/26/22 12:31:00  PM,26.390,398.3,,,,,
425,07/26/22 12:31:30  PM,26.390,495.1,,,,,
426,07/26/22 12:32:00  PM,26.292,409.0,,,,,
427,07/26/22 12:32:30  PM,26.292,452.1,,,,,
428,07/26/22 12:33:00  PM,26.195,462.9,,,,,
429,07/26/22 12:33:30  PM,26.195,129.2,,,,,
430,07/26/22 12:34:00  PM,26.195,559.7,,,,,
431,07/26/22 12:34:30  PM,26.195,430.6,,,,,
432,07/26/22 12:35:00  PM,26.195,441.3,,,,,
433,07/26/22 12:35:30  PM,26.292,441.3,,,,,
