"Plot Title: IRGA_LightMeasure"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20553056, SEN S/N: 20553056)","Intensity, Lux (LGR S/N: 20553056, SEN S/N: 20553056)","Good Battery (LGR S/N: 20553056)","Coupler Attached (LGR S/N: 20553056)","Host Connected (LGR S/N: 20553056)","Stopped (LGR S/N: 20553056)","End Of File (LGR S/N: 20553056)"
276,07/07/22 06:17:30  PM,21.187,279.9,,,,,
277,07/07/22 06:18:00  PM,21.091,387.5,,,,,
278,07/07/22 06:18:30  PM,21.091,387.5,,,,,
279,07/07/22 06:19:00  PM,20.996,387.5,,,,,
280,07/07/22 06:19:30  PM,20.901,366.0,,,,,
281,07/07/22 06:20:00  PM,20.805,344.4,,,,,
282,07/07/22 06:20:30  PM,20.805,419.8,,,,,
283,07/07/22 06:21:00  PM,20.901,3788.9,,,,,
284,07/07/22 06:21:30  PM,21.282,1151.7,,,,,
285,07/07/22 06:22:00  PM,21.378,43.1,,,,,
286,07/07/22 06:22:30  PM,21.664,139.9,,,,,
287,07/07/22 06:23:00  PM,21.855,193.8,,,,,
288,07/07/22 06:23:30  PM,21.951,183.0,,,,,
289,07/07/22 06:24:00  PM,21.951,204.5,,,,,
290,07/07/22 06:24:30  PM,22.142,1033.3,,,,,
291,07/07/22 06:25:00  PM,22.429,430.6,,,,,
292,07/07/22 06:25:30  PM,22.621,785.8,,,,,
293,07/07/22 06:26:00  PM,22.812,828.8,,,,,
294,07/07/22 06:26:30  PM,23.100,904.2,,,,,
295,07/07/22 06:27:00  PM,23.388,947.2,,,,,
296,07/07/22 06:27:30  PM,23.677,721.2,,,,,
297,07/07/22 06:28:00  PM,23.869,2325.0,,,,,
298,07/07/22 06:28:30  PM,24.062,301.4,,,,,
299,07/07/22 06:29:00  PM,24.158,1550.0,,,,,
300,07/07/22 06:29:30  PM,24.062,290.6,,,,,
301,07/07/22 06:30:00  PM,24.062,333.7,,,,,
302,07/07/22 06:30:30  PM,24.062,1141.0,,,,,
303,07/07/22 06:31:00  PM,23.966,322.9,,,,,
304,07/07/22 06:31:30  PM,23.869,376.7,,,,,
305,07/07/22 06:32:00  PM,23.773,731.9,,,,,
306,07/07/22 06:32:30  PM,23.677,2325.0,,,,,
307,07/07/22 06:33:00  PM,23.773,1894.5,,,,,
308,07/07/22 06:33:30  PM,23.869,3788.9,,,,,
309,07/07/22 06:34:00  PM,24.062,2927.8,,,,,
310,07/07/22 06:34:30  PM,24.158,527.4,,,,,
311,07/07/22 06:35:00  PM,24.062,312.2,,,,,
312,07/07/22 06:35:30  PM,24.062,301.4,,,,,
313,07/07/22 06:36:00  PM,23.966,785.8,,,,,
314,07/07/22 06:36:30  PM,23.773,366.0,,,,,
315,07/07/22 06:37:00  PM,23.773,2755.6,,,,,
316,07/07/22 06:37:30  PM,23.677,312.2,,,,,
317,07/07/22 06:38:00  PM,23.581,1980.6,,,,,
318,07/07/22 06:38:30  PM,23.581,376.7,,,,,
319,07/07/22 06:39:00  PM,23.388,344.4,,,,,
320,07/07/22 06:39:30  PM,23.196,366.0,,,,,
321,07/07/22 06:40:00  PM,23.004,1636.1,,,,,
322,07/07/22 06:40:30  PM,22.908,2927.8,,,,,
323,07/07/22 06:41:00  PM,22.717,258.3,,,,,
324,07/07/22 06:41:30  PM,22.525,301.4,,,,,
325,07/07/22 06:42:00  PM,22.333,312.2,,,,,
326,07/07/22 06:42:30  PM,22.142,387.5,,,,,
327,07/07/22 06:43:00  PM,21.855,258.3,,,,,
328,07/07/22 06:43:30  PM,21.760,1463.9,,,,,
329,07/07/22 06:44:00  PM,21.473,1087.2,,,,,
330,07/07/22 06:44:30  PM,21.473,1980.6,,,,,
331,07/07/22 06:45:00  PM,21.378,1011.8,,,,,
332,07/07/22 06:45:30  PM,21.187,1550.0,,,,,
333,07/07/22 06:46:00  PM,20.996,0.0,,,,,
334,07/07/22 06:46:30  PM,20.710,0.0,,,,,
335,07/07/22 06:47:00  PM,20.519,979.5,,,,,
336,07/07/22 06:47:30  PM,20.329,10.8,,,,,
337,07/07/22 06:48:00  PM,20.329,1054.9,,,,,
338,07/07/22 06:48:30  PM,20.329,1722.2,,,,,
339,07/07/22 06:49:00  PM,20.234,1377.8,,,,,
340,07/07/22 06:49:30  PM,20.234,592.0,,,,,
341,07/07/22 06:50:00  PM,20.138,10.8,,,,,
342,07/07/22 06:50:30  PM,19.948,32.3,,,,,
343,07/07/22 06:51:00  PM,19.853,172.2,,,,,
344,07/07/22 06:51:30  PM,19.853,183.0,,,,,
345,07/07/22 06:52:00  PM,19.853,32.3,,,,,
346,07/07/22 06:52:30  PM,19.758,10.8,,,,,
347,07/07/22 06:53:00  PM,19.662,21.5,,,,,
348,07/07/22 06:53:30  PM,19.662,2411.1,,,,,
349,07/07/22 06:54:00  PM,19.758,2583.4,,,,,
350,07/07/22 06:54:30  PM,19.662,21.5,,,,,
351,07/07/22 06:55:00  PM,19.662,258.3,,,,,
352,07/07/22 06:55:30  PM,19.758,64.6,,,,,
353,07/07/22 06:56:00  PM,19.662,129.2,,,,,
354,07/07/22 06:56:30  PM,19.662,2497.2,,,,,
355,07/07/22 06:57:00  PM,19.662,2927.8,,,,,
356,07/07/22 06:57:30  PM,19.662,32.3,,,,,
357,07/07/22 06:58:00  PM,19.662,183.0,,,,,
358,07/07/22 06:58:30  PM,19.662,193.8,,,,,
359,07/07/22 06:59:00  PM,19.758,204.5,,,,,
360,07/07/22 06:59:30  PM,19.758,1108.7,,,,,
361,07/07/22 07:00:00  PM,19.758,0.0,,,,,
362,07/07/22 07:00:30  PM,19.853,0.0,,,,,
363,07/07/22 07:01:00  PM,19.853,0.0,,,,,
364,07/07/22 07:01:30  PM,19.948,0.0,,,,,
365,07/07/22 07:02:00  PM,20.043,0.0,,,,,
366,07/07/22 07:02:30  PM,20.043,0.0,,,,,
367,07/07/22 07:03:00  PM,20.138,0.0,,,,,
368,07/07/22 07:03:30  PM,20.138,0.0,,,,,
369,07/07/22 07:04:00  PM,20.138,0.0,,,,,
370,07/07/22 07:04:30  PM,20.234,0.0,,,,,
371,07/07/22 07:05:00  PM,20.234,0.0,,,,,
372,07/07/22 07:05:30  PM,20.138,0.0,,,,,
373,07/07/22 07:06:00  PM,20.138,785.8,,,,,
374,07/07/22 07:06:30  PM,20.043,0.0,,,,,
375,07/07/22 07:07:00  PM,19.948,0.0,,,,,
376,07/07/22 07:07:30  PM,20.043,226.0,,,,,
377,07/07/22 07:08:00  PM,19.948,279.9,,,,,
378,07/07/22 07:08:30  PM,19.948,269.1,,,,,
379,07/07/22 07:09:00  PM,19.853,247.6,,,,,
380,07/07/22 07:09:30  PM,19.662,333.7,,,,,
381,07/07/22 07:10:00  PM,19.472,742.7,,,,,
382,07/07/22 07:10:30  PM,19.377,1894.5,,,,,
383,07/07/22 07:11:00  PM,19.282,0.0,,,,,
384,07/07/22 07:11:30  PM,19.187,1108.7,,,,,
385,07/07/22 07:12:00  PM,19.282,269.1,,,,,
386,07/07/22 07:12:30  PM,19.282,333.7,,,,,
387,07/07/22 07:13:00  PM,19.187,312.2,,,,,
388,07/07/22 07:13:30  PM,19.187,215.3,,,,,
389,07/07/22 07:14:00  PM,19.092,247.6,,,,,
390,07/07/22 07:14:30  PM,19.092,247.6,,,,,
391,07/07/22 07:15:00  PM,18.996,258.3,,,,,
392,07/07/22 07:15:30  PM,18.996,247.6,,,,,
393,07/07/22 07:16:00  PM,18.901,247.6,,,,,
394,07/07/22 07:16:30  PM,18.806,258.3,,,,,
395,07/07/22 07:17:00  PM,18.711,441.3,,,,,
396,07/07/22 07:17:30  PM,18.616,258.3,,,,,
397,07/07/22 07:18:00  PM,18.616,1044.1,,,,,
